Query 3 Results Monetdb


+----------+-------------------------------------------+-------------+---------+
| l_orderk | revenue                                   | o_orderdate | o_shipp |
: ey       :                                           :             : riority :
+==========+===========================================+=============+=========+
|   132994 |                               339014.2969 | 1995-08-05  |       0 |
|   167619 |                               312234.2981 | 1995-08-04  |       0 |
|   383815 |                               308218.5851 | 1995-08-13  |       0 |
|   143106 |                               308104.5118 | 1995-07-14  |       0 |
|   599238 |                               293725.5388 | 1995-08-12  |       0 |
|   326021 |                               288548.9306 | 1995-08-05  |       0 |
|   191136 |                               287886.0770 | 1995-07-26  |       0 |
|   240418 |                               283575.1194 | 1995-08-06  |       0 |
|   332740 |                               280366.8630 | 1995-07-12  |       0 |
|   229828 |                               276727.6475 | 1995-08-06  |       0 |
|   244165 |                               271440.5361 | 1995-08-12  |       0 |
|    87905 |                               270560.5842 | 1995-08-11  |       0 |
|   295330 |                               264253.9011 | 1995-08-12  |       0 |
|   402785 |                               263125.9516 | 1995-08-06  |       0 |
|   336576 |                               253213.5176 | 1995-08-11  |       0 |
|   121250 |                               252487.3848 | 1995-08-10  |       0 |
|   252423 |                               251814.5928 | 1995-07-16  |       0 |
|   128161 |                               249716.1445 | 1995-07-24  |       0 |
|   525444 |                               249587.4969 | 1995-08-10  |       0 |
|   370278 |                               248816.9333 | 1995-06-08  |       0 |
|   215366 |                               248528.4145 | 1995-07-26  |       0 |
|   244672 |                               246405.3754 | 1995-07-28  |       0 |
|   151173 |                               244980.6963 | 1995-08-04  |       0 |
|    25633 |                               244519.8045 | 1995-08-02  |       0 |
|   547617 |                               240823.4942 | 1995-08-01  |       0 |
|   238055 |                               238254.0688 | 1995-08-03  |       0 |
|    84161 |                               237021.3144 | 1995-07-25  |       0 |
|   343942 |                               235927.6156 | 1995-08-04  |       0 |
|   305024 |                               235712.7444 | 1995-07-29  |       0 |
|    11329 |                               233345.2336 | 1995-08-05  |       0 |
|   431813 |                               232691.6119 | 1995-07-10  |       0 |
|   163746 |                               230389.6755 | 1995-06-28  |       0 |
|   358309 |                               230071.5420 | 1995-08-09  |       0 |
|   541347 |                               229675.2992 | 1995-08-05  |       0 |
|   257216 |                               229644.6494 | 1995-08-08  |       0 |
|   221792 |                               227714.2292 | 1995-08-07  |       0 |
|   236097 |                               227249.6884 | 1995-07-28  |       0 |
|   561601 |                               224128.2261 | 1995-07-29  |       0 |
|    23558 |                               221873.1632 | 1995-08-10  |       0 |
|    33377 |                               220775.4978 | 1995-08-01  |       0 |
|   404420 |                               219583.7325 | 1995-07-05  |       0 |
|   442660 |                               214190.6555 | 1995-08-03  |       0 |
|   573635 |                               214130.4116 | 1995-06-29  |       0 |
|   135553 |                               212611.6411 | 1995-07-10  |       0 |
|   536227 |                               212305.5238 | 1995-08-09  |       0 |
|   442369 |                               211739.6178 | 1995-08-09  |       0 |
|   316066 |                               209084.2446 | 1995-08-14  |       0 |
|   439554 |                               208966.1866 | 1995-06-25  |       0 |
|   488900 |                               206925.0344 | 1995-08-12  |       0 |
|   190663 |                               206148.1552 | 1995-08-08  |       0 |
|   140294 |                               205937.8013 | 1995-07-23  |       0 |
|    78435 |                               205846.7553 | 1995-07-07  |       0 |
|   334720 |                               204714.2159 | 1995-06-21  |       0 |
